"","lab_number","sample_code","year","site","plot","top","bottom","pH","bray_p","olsen_p","total_carbon","inorganic_carbon","total_p","lead","bulk_density","ksat","k","loi_om","depth_increment_height","dry_mass","radius"
"1",1,"18.001.0-10",2018,1,1,0,10,7.2,42,NA,2.928,NA,737,83,1.12137469200711,NA,NA,5.942781918,10,38.84,1.05
"2",2,"18.001.10-20",2018,1,1,10,20,7.6,43,19,0.862,1.3,408,183,1.39594403600783,NA,NA,2.157378618,10,48.35,1.05
"3",3,"18.001.20-40",2018,1,1,20,40,8,44,18,0.893,1.5,281,27,0.996216110908998,NA,NA,1.678583266,20,69.01,1.05
"4",4,"18.001.40-60",2018,1,1,40,60,8,50,23,0.845,2.2,408,61,1.11487857188091,NA,NA,2.123556663,20,77.23,1.05
"5",5,"18.001.60-80",2018,1,1,60,80,7.9,65,22,0.893,1.5,599,60,1.59501402831959,NA,NA,2.014448098,20,110.49,1.05
"6",6,"18.001.80-100",2018,1,1,80,100,7.9,51,21,0.741,0.8,453,34,0.686712076451833,NA,NA,1.137868458,20,47.57,1.05
"7",7,"18.002.0-10",2018,2,2,0,10,6.1,278,NA,8.254,NA,1808,42,0.636619772367581,NA,NA,15.86622642,10,22.05,1.05
"8",8,"18.002.10-20",2018,2,2,10,20,6.7,130,NA,4.729,NA,974,49,0.923603923720586,NA,NA,11.37026239,10,31.99,1.05
"9",9,"18.002.20-40",2018,2,2,20,40,6.9,127,NA,2.008,NA,833,58,1.02956286089016,NA,NA,5.088357227,20,71.32,1.05
"10",10,"18.002.40-60",2018,2,2,40,60,7.4,56,NA,0.641,0.3,336,26,1.40604911175969,NA,NA,2.857814889,20,97.4,1.05
"11",11,"18.002.60-80",2018,2,2,60,80,7.6,NA,44,0.762,0.6,381,18,1.49872709222681,NA,NA,2.599523965,20,103.82,1.05
"12",12,"18.002.80-100",2018,2,2,80,100,7.4,63,NA,0.827,0.9,379,40,1.07763414982404,NA,NA,NA,20,74.65,1.05
"13",13,"18.003.0-10",2018,3,3,0,10,NA,NA,NA,NA,NA,NA,28,0.271104746600072,NA,NA,30.8883293,10,9.39,1.05
"14",14,"18.003.10-20",2018,3,3,10,20,6.5,182,NA,6.43,NA,1666,32,0.847671497356562,NA,NA,13.89697568,10,29.36,1.05
"15",15,"18.003.20-40",2018,3,3,20,40,6.3,329,NA,11.21,NA,2391,30,0.317732453283684,NA,NA,16.63141002,20,22.01,1.05
"16",16,"18.003.40-60",2018,3,3,40,60,6.7,145,NA,1.92,NA,1931,10,1.22747798740171,NA,NA,5.075337034,20,85.03,1.05
"17",17,"18.003.60-80",2018,3,3,60,80,6.3,215,NA,3.543,NA,1266,29,0.705334287480273,NA,NA,8.526983367,20,48.86,1.05
"18",18,"18.003.80-100",2018,3,3,80,100,6.7,213,NA,1.881,NA,882,36,2.48281711223357,NA,NA,4.632337796,20,171.99,1.05
"19",19,"18.004.0-10",2018,4,4,0,10,NA,NA,NA,NA,NA,NA,84,0.390055924022042,NA,NA,2.355808286,10,13.51,1.05
"20",20,"18.004.10-20",2018,4,4,10,20,NA,NA,NA,NA,NA,NA,67,0.44375718373196,NA,NA,3.575806686,10,15.37,1.05
