,year,site,plot,ksat_1,ksat_2,ksat_3,ksat_4,ksat_5,ksat_avg,site_type,land_use
1,2018,1,1,2.016480013,4.855251273,3.716060983,NA,NA,3.52926409,Community Garden/Urban Farm,Garden_non_food_producing
2,2018,2,2,13.65505018,6.284257812,38.00381435,NA,NA,19.31437411,Community Garden/Urban Farm,Garden_food_producing_in_ground
3,2018,3,3,13.65505018,6.284257812,38.00381435,NA,NA,19.31437411,Community Garden/Urban Farm,Garden_food_producing_in_ground
4,2018,4,4,2.016480013,4.855251273,3.716060983,NA,NA,3.52926409,Community Garden/Urban Farm,Maintained_lawn
5,2018,5,5,2.016480013,4.855251273,3.716060983,NA,NA,3.52926409,Community Garden/Urban Farm,Maintained_lawn
6,2018,6,6,13.65505018,6.284257812,38.00381435,NA,NA,19.31437411,Community Garden/Urban Farm,Garden_food_producing_in_ground
7,2018,7,7,0.608153982,1.277952083,2.320822473,NA,NA,1.402309513,Community Garden/Urban Farm,Maintained_lawn
8,2018,8,8,0.608153982,1.277952083,2.320822473,NA,NA,1.402309513,Community Garden/Urban Farm,Maintained_lawn
9,2018,9,9,0.608153982,1.277952083,2.320822473,NA,NA,1.402309513,Community Garden/Urban Farm,Maintained_lawn
10,2018,10,10,4.467587736,4.944692416,2.072682859,NA,NA,3.828321004,Park/Green Space,Maintained_lawn
11,2018,11,11,4.467587736,4.944692416,2.072682859,NA,NA,3.828321004,Park/Green Space,Maintained_lawn
12,2018,12,12,4.467587736,4.944692416,2.072682859,NA,NA,3.828321004,Park/Green Space,Maintained_lawn
13,2018,13,13,7.453485951,5.852901227,12.95582162,NA,NA,8.754069599,Park/Green Space,Maintained_lawn
14,2018,14,14,7.453485951,5.852901227,12.95582162,NA,NA,8.754069599,Park/Green Space,Maintained_lawn
15,2018,15,15,7.453485951,5.852901227,12.95582162,NA,NA,8.754069599,Park/Green Space,Maintained_lawn
16,2018,16,16,NA,NA,NA,NA,NA,NA,Park/Green Space,Maintained_lawn
17,2018,17,17,NA,NA,NA,NA,NA,NA,Park/Green Space,Maintained_lawn
18,2018,18,18,NA,NA,NA,NA,NA,NA,Park/Green Space,Maintained_lawn
19,2018,19,19,55.95388577,21.79701147,NA,NA,NA,38.87544862,Park/Green Space,Maintained_lawn
20,2018,20,20,55.95388577,21.79701147,NA,NA,NA,38.87544862,Park/Green Space,Maintained_lawn
21,2018,21,21,55.95388577,21.79701147,NA,NA,NA,38.87544862,Park/Green Space,Maintained_lawn
22,2018,22,22,0.830362342,1.087201814,NA,NA,NA,0.958782078,Residential,Maintained_lawn
23,2018,23,23,0.830362342,1.087201814,NA,NA,NA,0.958782078,Residential,Maintained_lawn
24,2019,1,1,4.972925788,4.878196747,6.580057875,NA,NA,5.477060137,Residential,Garden_non_food_producing
25,2019,2,2,5.764792952,8.85719831,NA,NA,NA,7.310995631,Residential,Maintained_lawn
26,2019,3,3,4.687853609,7.127211892,8.615514742,NA,NA,6.810193414,Residential,Maintained_lawn
27,2019,4,4,11.04813067,12.72055412,21.68449041,NA,NA,15.1510584,Park/Green Space,Maintained_lawn
28,2019,5,5,2.814005713,2.947524918,8.805562861,6.233578313,6.233578313,5.406850024,Park/Green Space,Maintained_lawn
29,2019,6,6,30.59969831,8.27479139,15.23191425,NA,NA,18.03546798,Park/Green Space,Maintained_lawn
30,2019,7,7,9.67978421,10.0345407,7.104211145,NA,NA,8.939512018,Park/Green Space,Maintained_lawn
31,2019,8,8,28.78327786,16.23346721,14.93260715,NA,NA,19.98311741,Park/Green Space,Maintained_lawn
32,2019,9,9,6.458373768,2.211550761,1.729921545,NA,NA,3.466615358,Park/Green Space,Maintained_lawn
33,2019,10,10,0.154337389,0.98825022,0.51608054,NA,NA,0.552889383,Park/Green Space,Maintained_lawn
34,2019,11,11,7.31180173,6.440641001,7.7312129,NA,NA,7.161218544,Residential,Garden_food_producing_in_ground
35,2019,12,12,12.74821091,14.47367693,20.48718726,NA,NA,15.90302503,Residential,Garden_non_food_producing
36,2019,13,13,17.9163606,3.215884797,12.40708651,NA,NA,11.1797773,Residential,Maintained_lawn
37,2019,14,14,46.02694347,22.64904534,NA,NA,NA,34.33799441,Residential,Maintained_lawn
38,2019,15,15,6.467471544,10.51862416,2.668142676,1.482208043,1.431097421,4.513508769,Residential,Maintained_lawn
39,2019,16,16,11.23600947,35.02432488,24.92495059,NA,NA,23.72842831,Residential,Garden_non_food_producing
40,2019,17,17,3.268827652,3.395526398,4.983484017,NA,NA,3.882612689,Park/Green Space,Natural_vegetation
41,2019,18,18,6.233578313,5.574744833,3.281497527,NA,NA,5.029940224,Park/Green Space,Natural_vegetation
42,2019,19,19,6.436296307,2.432615927,14.10157045,NA,NA,7.656827561,Park/Green Space,Garden_non_food_producing
43,2019,20,20,4.865231854,6.941344661,11.65628465,NA,NA,7.820953722,Park/Green Space,Natural_vegetation
44,2019,21,21,0.785532226,0.571982311,0.405435988,NA,NA,0.587650175,Park/Green Space,Maintained_lawn
45,2019,22,22,3.648923891,3.547564894,8.311437751,NA,NA,5.169308845,Park/Green Space,Garden_non_food_producing
46,2019,23,23,18.64855425,12.37213257,21.55145673,NA,NA,17.52404785,Park/Green Space,Maintained_lawn
47,2019,24,24,4.151811708,4.409116368,5.777462827,NA,NA,4.779463634,Park/Green Space,Maintained_lawn
48,2019,25,25,7.601924772,1.430068477,8.362117249,NA,NA,5.798036833,Park/Green Space,Maintained_lawn
49,2019,26,26,1.54539658,0.65883348,1.140288716,NA,NA,1.114839592,Residential,Maintained_lawn
50,2019,27,27,1.137569689,2.164619169,0.807296721,NA,NA,1.369828526,Residential,Garden_non_food_producing
51,2019,28,28,0.912230973,1.15328103,NA,NA,NA,1.032756001,Residential,Maintained_lawn
52,2019,29,29,0.611914131,1.520384954,2.128538936,NA,NA,1.42027934,Residential,Maintained_lawn
53,2019,30,30,12.97395161,4.899018186,0.945690445,NA,NA,6.272886747,Residential,Maintained_lawn
54,2019,31,31,2.547482522,1.520384954,7.642447566,NA,NA,3.903438347,Residential,Maintained_lawn
55,2019,32,32,0.965803813,1.140288716,1.221521546,NA,NA,1.109204692,Residential,Maintained_lawn
56,2019,33,33,0.304108202,0.258444848,0.61298232,NA,NA,0.391845123,Residential,Maintained_lawn
57,2019,34,34,1.045264656,0.760192477,1.089609217,NA,NA,0.965022117,Residential,Maintained_lawn
58,2019,35,35,1.453134098,3.875024261,1.216307964,NA,NA,2.181488774,Residential,Maintained_lawn
59,2019,36,36,0.83054761,0.551568798,0.719439609,NA,NA,0.700518672,Residential,Maintained_lawn
60,2020,1,1,0.634304567,1.122453739,0.20182418,NA,NA,0.652860829,Residential,Maintained_lawn
61,2020,1,2,0.576640515,0.484730772,0.465748833,NA,NA,0.50904004,Residential,Maintained_lawn
62,2020,1,3,3.359317612,14.31676657,5.535748944,2.799431343,NA,6.502816117,Residential,Garden_non_food_producing
63,2020,2,4,0.506794985,1.266987462,2.533974924,NA,NA,1.435919124,Residential,Maintained_lawn
64,2020,2,5,45.75140622,29.41161829,NA,NA,NA,37.58151226,Residential,Garden
65,2020,2,6,3.91920388,0.844658308,4.843780326,NA,NA,3.202547505,Residential,Garden
66,2020,3,7,2.280577432,6.121270373,2.30656206,NA,NA,3.569469955,Residential,Maintained_lawn
67,2020,3,8,4.790559422,13.43727045,4.790559422,NA,NA,7.672796431,Residential,Garden_food_producing_raised_beds
68,2020,3,9,22.04558184,12.56322096,4.561154863,NA,NA,13.05665255,Residential,Maintained_lawn
69,2020,4,10,NA,6.91968618,12.77482513,NA,NA,9.847255655,Residential,Maintained_lawn
