"","X.x","lab_number","sample_code","year.x","site.x","plot.x","top","bottom","pH","bray_p","olsen_p","total_carbon","inorganic_carbon","total_p","lead","bulk_density","ksat","k","loi_om","depth_increment_height","dry_mass","radius","bd_pred","bd_meas","bd_comp","code","X.y","year.y","site.y","plot.y","ksat_1","ksat_2","ksat_3","ksat_4","ksat_5","ksat_avg","site_type","land_use","land_use_detail"
"1",1,1,"18.001.0-10",2018,1,1,0,10,7.2,42,NA,2.928,NA,737,83,1.12137469200711,NA,NA,5.942781918,10,38.84,1.05,1.33527414189431,1.12137469200711,1.12137469200711,"201811",1,2018,1,1,2.016480013,4.855251273,3.716060983,NA,NA,3.52926409,"Community Garden/Urban Farm","Garden_non_food_producing","Garden_non_food_producing"
"2",2,2,"18.001.10-20",2018,1,1,10,20,7.6,43,19,0.862,1.3,408,183,1.39594403600783,NA,NA,2.157378618,10,48.35,1.05,1.41470678569869,1.39594403600783,1.39594403600783,"201811",1,2018,1,1,2.016480013,4.855251273,3.716060983,NA,NA,3.52926409,"Community Garden/Urban Farm","Garden_non_food_producing","Garden_non_food_producing"
"3",3,3,"18.001.20-40",2018,1,1,20,40,8,44,18,0.893,1.5,281,27,0.996216110908998,NA,NA,1.678583266,20,69.01,1.05,1.41347796122803,0.996216110908998,0.996216110908998,"201811",1,2018,1,1,2.016480013,4.855251273,3.716060983,NA,NA,3.52926409,"Community Garden/Urban Farm","Garden_non_food_producing","Garden_non_food_producing"
"4",4,4,"18.001.40-60",2018,1,1,40,60,8,50,23,0.845,2.2,408,61,1.11487857188091,NA,NA,2.123556663,20,77.23,1.05,1.41538114519689,1.11487857188091,1.11487857188091,"201811",1,2018,1,1,2.016480013,4.855251273,3.716060983,NA,NA,3.52926409,"Community Garden/Urban Farm","Garden_non_food_producing","Garden_non_food_producing"
"5",5,5,"18.001.60-80",2018,1,1,60,80,7.9,65,22,0.893,1.5,599,60,1.59501402831959,NA,NA,2.014448098,20,110.49,1.05,1.41347796122803,1.59501402831959,1.59501402831959,"201811",1,2018,1,1,2.016480013,4.855251273,3.716060983,NA,NA,3.52926409,"Community Garden/Urban Farm","Garden_non_food_producing","Garden_non_food_producing"
"6",6,6,"18.001.80-100",2018,1,1,80,100,7.9,51,21,0.741,0.8,453,34,0.686712076451833,NA,NA,1.137868458,20,47.57,1.05,1.41951417605676,0.686712076451833,0.686712076451833,"201811",1,2018,1,1,2.016480013,4.855251273,3.716060983,NA,NA,3.52926409,"Community Garden/Urban Farm","Garden_non_food_producing","Garden_non_food_producing"
"7",7,7,"18.002.0-10",2018,2,2,0,10,6.1,278,NA,8.254,NA,1808,42,0.636619772367581,NA,NA,15.86622642,10,22.05,1.05,1.15193835607365,0.636619772367581,0.636619772367581,"201822",2,2018,2,2,13.65505018,6.284257812,38.00381435,NA,NA,19.31437411,"Community Garden/Urban Farm","Garden_food_producing_in_ground","Garden_food_producing_in_ground"
"8",8,8,"18.002.10-20",2018,2,2,10,20,6.7,130,NA,4.729,NA,974,49,0.923603923720586,NA,NA,11.37026239,10,31.99,1.05,1.2699557027654,0.923603923720586,0.923603923720586,"201822",2,2018,2,2,13.65505018,6.284257812,38.00381435,NA,NA,19.31437411,"Community Garden/Urban Farm","Garden_food_producing_in_ground","Garden_food_producing_in_ground"
"9",9,9,"18.002.20-40",2018,2,2,20,40,6.9,127,NA,2.008,NA,833,58,1.02956286089016,NA,NA,5.088357227,20,71.32,1.05,1.37003525068072,1.02956286089016,1.02956286089016,"201822",2,2018,2,2,13.65505018,6.284257812,38.00381435,NA,NA,19.31437411,"Community Garden/Urban Farm","Garden_food_producing_in_ground","Garden_food_producing_in_ground"
"10",10,10,"18.002.40-60",2018,2,2,40,60,7.4,56,NA,0.641,0.3,336,26,1.40604911175969,NA,NA,2.857814889,20,97.4,1.05,1.42350049040108,1.40604911175969,1.40604911175969,"201822",2,2018,2,2,13.65505018,6.284257812,38.00381435,NA,NA,19.31437411,"Community Garden/Urban Farm","Garden_food_producing_in_ground","Garden_food_producing_in_ground"
"11",11,11,"18.002.60-80",2018,2,2,60,80,7.6,NA,44,0.762,0.6,381,18,1.49872709222681,NA,NA,2.599523965,20,103.82,1.05,1.41867857669078,1.49872709222681,1.49872709222681,"201822",2,2018,2,2,13.65505018,6.284257812,38.00381435,NA,NA,19.31437411,"Community Garden/Urban Farm","Garden_food_producing_in_ground","Garden_food_producing_in_ground"
"12",12,12,"18.002.80-100",2018,2,2,80,100,7.4,63,NA,0.827,0.9,379,40,1.07763414982404,NA,NA,NA,20,74.65,1.05,1.41609554992672,1.07763414982404,1.07763414982404,"201822",2,2018,2,2,13.65505018,6.284257812,38.00381435,NA,NA,19.31437411,"Community Garden/Urban Farm","Garden_food_producing_in_ground","Garden_food_producing_in_ground"
